符合條件商品
資料日期：2026年  6月 26日
策略,	.常用
"序號","代碼","商品","成交","漲幅%","總量","振幅","市值(億)","股本(億)","成交值(億)","推估獲利","蘭質","LPE","蘭值","有CB","W55","55高","55低","集保","評比值","大戶增比","人數降比","月增","年增","累增","投三","外三","TOTAL","55漲%","21跌%","產業","細產業","所有細產業",產業地位
1	,"1101.TW","台泥","24.15","-1.83","34477","2.44","1817","752.32","8.42","-0.09","6","23","26","1","0","0","0","0","0","0.11","-0.42","3","-0","-4","-0","1.1","1.1","0","0","上市水泥","水泥","水泥,水泥製品,預拌混凝土,電力,汽電共生",台灣最大水泥廠
2	,"1102.TW","亞泥","35.75","-0.97","14806","1.25","1268","354.66","5.32","0.18","5","36","14","1","1","0","0","0","0","0.32","-1.01","11","-1","-8","-6.7","2.2","-4.5","0.13","0","上市水泥","水泥","水泥,預拌混凝土,高爐水泥,電力,汽電共生",台灣前二大水泥廠
3	,"1103.TW","嘉泥","13.4","-1.47","437","1.47","106","83.29","0.06","-0.09","4","0","0","0","0","0","0","0","0","0.01","-0.04","11","-8","-12","0","0","0","0","0","上市水泥","水泥","水泥,貨櫃場服務,運輸事業,地產,物業投資發展,旅宿／餐飲,飯店",主要從事水泥通路貿易
4	,"1104.TW","環泥","26.55","-0.56","1256","1.31","182","68.67","0.33","0.33","4","20","20","0","0","0","0","0","0","-0.68","0.85","3","2","-7","0","-0.4","-0.4","0","0.05","上市水泥","預拌混凝土","水泥,水泥製品,預拌混凝土",台灣最大石膏板供應商
5	,"1108.TW","幸福","13.7","-0.72","258","1.09","55","40.47","0.04","-0.28","5","19","26","0","0","0","0","0","0","-0.07","-0.06","4","-14","-19","0","-0","0","0","0.04","上市水泥","水泥","水泥,預拌混凝土,高爐水泥",台灣第三大水泥廠
6	,"1109.TW","信大","14.6","0","111","1.37","50","34.12","0.02","-0.24","6","0","0","0","0","0","0","0","0","0.06","0","2","-15","-16","0","-0","0","0","0.04","上市水泥","水泥","水泥,預拌混凝土,高爐水泥",銷售市場以台北、宜蘭、基隆、桃園等為主
7	,"1110.TW","東泥","14.9","-2.61","327","4.25","85","57.2","0.05","0.05","6","54","11","0","0","0","0","0","0","-0.03","-0.15","-2","-11","-17","0","0","0","0","0","上市水泥","水泥","水泥,高爐水泥",台灣中南部市場水泥供應商
8	,"1201.TW","味全","12.2","-2.01","615","1.61","62","50.61","0.08","-0.22","6","60","10","0","0","0","0","0","0","0.39","-0.11","2","-5","-4","0","0","0","0","0","上市食品","乳製品","非酒精飲料,乳製品,食品加工,飲料相關",老牌綜合食品大廠
9	,"1203.TW","味王","42.5","-0.82","16","1.4","102","24","0.01","0.46","8","18","44","0","1","0","0","0","0","0","-0.12","-1","-10","-13","0","-0","0","0.11","0","上市食品","調味品","速食麵,調味品,食品加工,罐頭業,調理食品,資產股",老牌食品廠
10	,"1210.TW","大成","55.2","-0.9","1719","1.26","494","89.48","0.95","0.83","8","12","67","0","1","0","0","0","0","0.19","-0.55","-0","10","5","0.4","1","1.4","0.09","0","上市食品","飼料","農林漁牧,飼料,食品加工,大宗物資,肉品加工",白肉雞電宰加工廠及飼料大廠
11	,"1213.TW","大飲","7.56","-6.55","13","6.55","4","5.66","0","-0.32","5","0","0","0","0","0","1","0","0","-0.24","0","-10","14","13","0","0","0","0","0.25","上市食品","非酒精飲料","非酒精飲料,飲料相關",產品以蘋果西打為主
12	,"1215.TW","卜蜂","114","-0.87","1316","1.74","336","29.48","1.5","1.43","4","19","21","0","0","0","0","0","0","-0.51","0.3","7","2","4","0","-0.4","-0.4","0","0.15","上市食品","肉品加工","農林漁牧,飼料,食品加工,肉品加工",台灣白肉雞供應商及飼料大廠
13	,"1216.TW","統一","74.6","-1.32","9814","1.46","4239","568.2","7.35","0.81","13","16","81","0","1","0","0","0","0","0.07","-0.35","3","3","3","17.1","-11.9","5.2","0.13","0","上市食品","乳製品","速食麵,非酒精飲料,乳製品,食品加工,穀類烘焙製品,飲料相關",台灣食品業龍頭廠之一
