符合條件商品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料日期：2026年  6月 29日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
策略,"	.常用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16	",1219.TW,福壽,12.55,1.21,460,1.2,42,34.12,0.02,-0.18,7,0,0,0,0,0,0,0,0,-0.01,-0.19,-9,-7,-1,0,0,0,0,0.02,上市食品,飼料,"農林漁牧,飼料,食品加工,大宗物資,油脂,寵物食品",台灣知名農糧油脂、寵物飼料大廠,
"17	",1220.TW,台榮,11.5,0.44,35,1.3,20,17.71,0.02,-0.2,2,0,0,0,0,0,1,0,0,0,0.01,-20,-13,-5,0,0,0,0,0.05,上市食品,飼料,"流通業,食品飲料相關通路,農林漁牧,飼料,製糖,食品加工,大宗物資,磨粉製品",台灣知名果糖大廠，並生產飼料及水產品,
"18	",1225.TW,福懋油,29.15,-0.85,274,2.15,71,24.23,0.07,0.4,12,15,80,0,0,0,0,0,0,0,0.05,-7,2,3,0,0,0,0,0.13,上市食品,油脂,"農林漁牧,飼料,大宗物資,麵粉,油脂",台灣油脂、飼料大廠,
"19	",1227.TW,佳格,29.35,1.03,694,1.19,266,91.51,0.38,-0.13,13,17,76,0,0,0,0,0,0,0.24,-0.51,18,5,8,0,0.2,0.2,0,0,上市食品,油脂,"乳製品,食品加工,大宗物資,油脂,保健食品,穀類烘焙製品",台灣最大穀物營養品與油品供應商,
"20	",1229.TW,聯華,42.7,0.59,2780,2.66,762,179.6,1.86,-0.05,8,106,8,0,1,0,0,0,0,0.3,-0.7,30,-9,-9,0,1.5,1.5,0.18,0,上市食品,麵粉,"大宗物資,麵粉,系統整合,軟體業",聯華神通集團之創始公司，是台灣麵粉品牌龍頭企業,
"21	",1231.TW,聯華食,88.1,1.15,277,1.59,260,29.85,0.29,0.48,7,25,28,0,0,0,0,0,0,-0.1,-0.24,-2,-3,4,0,0.1,0.1,0,0,上市食品,調理食品,"食品加工,穀類烘焙製品,調理食品,餅乾製品",台灣休閒食品大廠，並供應7-11鮮食產品,
"22	",1232.TW,大統益,140.5,-0.35,119,0.71,226,16,0.38,2.24,10,15,67,0,0,0,0,0,0,-0.03,0.76,-3,10,8,0,-0.3,-0.3,0,0.03,上市食品,油脂,"食品加工,大宗物資,油脂,磨粉製品",台灣最大黃豆加工製造廠，是豆粉與油脂製造龍頭,
"23	",1233.TW,天仁,28.3,0.35,10,1.07,26,9.06,0.01,-0.06,14,22,64,0,0,0,0,0,0,0.07,-0.09,9,-4,2,0,0,0,0,0.01,上市食品,茶葉相關,"食品加工,茶葉相關,旅宿／餐飲,餐飲,連鎖飲料",台灣知名茶葉廠並轉投資喫茶趣,
"24	",1234.TW,黑松,33.5,0.6,224,1.56,140,40.19,0.2,-0.56,8,2599,0,0,1,0,0,0,0,-0.04,0.18,1,-23,-6,0,0.1,0.1,0.07,0,上市食品,非酒精飲料,"流通業,食品飲料相關通路,非酒精飲料,飲料相關,資產股",主要從事黑松品牌飲料製造及酒品代理,
"25	",1235.TW,興泰,36.5,0.97,16,4.23,68,18.86,0.01,-0.25,10,98977,0,0,0,0,1,0,0,-0.02,0.07,-46,-38,47,0,0,0,0,0.18,上市食品,飼料,"農林漁牧,飼料",生產畜產及水產類飼料之廠商,
"26	",1236.TW,宏亞,25.8,0,25,1.16,22,8.67,0.01,-0.62,10,31,32,0,1,0,0,0,0,-0.09,-0.2,-12,-4,3,0,0,0,0.12,0,上市食品,可可製品,"食品加工,可可製品,餅乾製品",旗下七七巧克力與禮坊喜餅為知名品牌,
"27	",1240.TW,茂生農經,57.5,-0.35,5,0.52,26,4.42,0,0.3,6,25,24,0,0,0,0,0,0,0,0.3,3,3,3,0,0,0,0,0,上櫃農業科技業,飼料,"農林漁牧,家畜／家禽,飼料",家禽家畜飼料、大宗原料供應商,
"28	",1256.TW,鮮活果汁-KY,176,-0.56,48,6.7,63,3.58,0.34,2.32,13,17,76,1,0,0,0,0,0,-0.03,0.2,4,24,47,0,0,0,0,0.26,上市食品,非酒精飲料,"非酒精飲料,飲料相關",大陸新茶飲上游原料供應商,
"29	",1259.TW,安心,57,1.6,6,3.37,18,3.24,0.01,-0.25,10,53,19,0,0,0,0,0,0,0.05,-0.16,12,3,3,0,0,0,0,0.05,上櫃觀光餐旅,餐飲,"旅宿／餐飲,餐飲",東元旗下，以摩斯為速食餐飲連鎖品牌,
"30	",1264.TW,德麥,268.5,0.56,30,0.74,99,3.71,0.14,4.77,11,11,100,0,0,0,0,0,0,-0.05,0.16,-12,3,6,0,0,0,0,0.03,上櫃食品,食品飲料相關通路,"流通業,食品飲料相關通路,食品加工,穀類烘焙製品,磨粉製品",台灣最大烘焙原物料供應商,
"31	",1268.TW,漢來美食,168.5,0.6,5,1.76,71,4.22,0.07,1.41,14,7,200,0,1,0,0,0,0,0.16,0.33,16,11,15,0,0,0,0.12,0,上櫃觀光餐旅,餐飲,"旅宿／餐飲,餐飲",台灣知名餐飲集團，經營多元品牌,
"32	",1301.TW,台塑,53.2,1.92,21674,9.14,3323,636.57,33.67,-0.3,11,0,0,0,1,0,0,1,2.3,1.72,-3.95,-18,1,-4,0,19.2,19.2,0.39,0,上市塑膠,PVC,"合成樹脂,鹼業,化學工業,其他化工產品,PVC,PE,PP,塑化原料,EVA,AN,化纖原料",台灣最大塑化集團，亞洲最大PVC生產商,
"33	",1303.TW,南亞,151.5,2.36,26523,5.81,11738,793.08,45.31,0.36,7,125,6,0,1,0,0,0,0,-0.11,7.15,4,31,13,48.4,-40.3,8.1,1.11,0,上市塑膠,塑膠加工,"合成樹脂,丁二醇,化學工業,DOP,塑膠皮布,塑膠加工,PA,塑化原料,塑化製品,化學纖維,聚酯絲,聚酯棉,聚酯粒,化纖原料,EG,玻纖布,印刷電路板,銅箔基板,銅箔,印刷電路板相關",全球最大的塑膠加工廠、第四大EG廠,
"34	",1304.TW,台聚,13.2,0,3093,4.48,157,118.88,0.7,-0.48,9,0,0,0,0,0,0,0,0,0.43,-0.47,-16,-1,-5,0,0.6,0.6,0,0,上市塑膠,PE,"PE,ABS,PS,塑化原料,EVA",台灣EVA、PE知名廠商,
"35	",1305.TW,華夏,12.9,-0.77,1857,2.63,76,58.11,0.34,-0.31,9,0,0,0,0,0,0,0,0,0.23,-0.29,-18,21,18,0,0.4,0.4,0,0,上市塑膠,PVC,"PVC,塑膠皮布,塑膠加工,塑化原料,塑化製品",台灣第二大PVC廠，轉投資台氯,
"36	",1307.TW,三芳,34.65,0.87,689,2.7,137,39.78,0.4,0.65,9,11,82,0,0,0,0,0,0,-0.07,0.18,-11,9,4,0,-0.1,-0.1,0,0,上市塑膠,塑膠皮布,"塑膠皮布,塑化製品,傳產其他,鞋材",全球最大的合成皮生產商,
"37	",1308.TW,亞聚,13.8,0.36,898,3.56,82,59.37,0.27,0.03,6,228,3,0,0,0,0,0,0,0.29,-0.46,2,10,-5,0,0.3,0.3,0,0,上市塑膠,EVA,"PE,塑化原料,EVA",台聚轉投資之EVA及LDPE知名廠商,
"38	",1309.TW,台達化,14.3,-1.04,1832,2.39,57,39.76,0.31,-0.79,7,0,0,0,0,0,0,0,0,-0.02,-0.27,-23,-21,-18,0,0.1,0.1,0,0.28,上市塑膠,PS,"ABS,PS,塑化原料",台灣第三大PS廠,
"39	",1310.TW,台苯,10,0.91,7365,3.56,52,52.79,0.7,-0.12,8,10,80,0,1,0,0,0,0,0.34,0.36,-42,-39,-10,0,-0.1,-0.1,0.34,0,上市塑膠,SM,"SM,塑化原料",台灣第三大SM廠,
"40	",1312.TW,國喬,14.15,1.07,13460,3.53,211,150.66,2.34,-0.66,9,0,0,0,1,0,0,0,0,0.83,-0.59,-36,6,18,0,0.5,0.5,0.58,0,上市塑膠,SM,"SM,ABS,塑化原料",台灣第二大SM及ABS廠,
"41	",1313.TW,聯成,12.2,-1.21,7594,5.98,164,133.08,3.16,-0.24,8,32,25,0,1,0,0,0,0,-0.12,1.67,-9,5,4,0,-0.7,-0.7,0.28,0,上市塑膠,DOP,"PVC,DOP,PA,塑化原料",全球最大可塑劑及苯酐供應商,
"42	",1314.TW,中石化,8.11,1.76,24609,2.36,302,378.49,2.61,-0.34,5,0,0,0,1,0,0,0,0,0.81,-0.76,-17,-24,-30,0,1.7,1.7,0.26,0,上市塑膠,CPL,"AN,化學纖維,尼龍粒,化纖原料,CPL,資產股",台灣第一大CPL廠,
"43	",1315.TW,達新,62.1,0.16,51,0.8,61,9.91,0.01,-0.74,4,0,0,0,0,0,0,0,0,0,-0.33,78,3,-17,0,0,0,0,0,上市塑膠,塑膠加工,"塑膠加工,塑化製品,建材,複合板,成衣,成衣製造,資產股",台灣知名雨衣及成衣製造商,
"44	",1316.TW,上曜,10.35,2.48,1420,1.94,37,40.16,0.16,-0.42,6,49,12,1,0,0,0,0,0,0.24,-0.17,5,153,139,0,0,0,0,0.15,上市建材營造,營建,"PU樹脂,化學工業,食品加工,保健食品,營建,地產",上曜集團旗下豪宅品牌,
"45	",1319.TW,東陽,76.2,-1.42,6740,2.64,457,59.15,5.36,1.05,5,18,28,0,0,0,0,0,0,-4.5,22.49,-8,3,-17,-8.1,6.7,-1.4,0,0.33,上市汽車,汽機車零組件,"汽車保險桿,汽機車零組件,汽車鈑金,車用冷卻系統",全球第一大汽車AM塑膠件製造商,
"46	",1321.TW,大洋,31,0.98,60,2.89,70,22.72,0.05,-0.35,7,0,0,0,0,0,0,0,0,0.54,-0.49,3,13,-1,0,0,0,0,0,上市塑膠,PVC,"PVC,塑膠皮布,塑膠加工,塑化原料,塑化製品,資產股",台灣第三大PVC廠，並有資產開發題材,
"47	",1323.TW,永裕,19.7,1.55,17,1.52,18,9.13,0.02,0.14,12,24,50,0,0,0,0,0,0,-0.35,1.1,-3,4,2,0,0,0,0,0.07,上市塑膠,塑膠加工,"塑膠加工,塑化製品",台灣知名的塑膠瓶及軟管製造商,
"48	",1324.TW,地球,10.35,0.98,49,0.96,8,7.51,0.01,-0.45,5,0,0,0,0,0,0,0,0,0.01,-0.17,9,4,-10,0,0,0,0,0.07,上市塑膠,膠帶,"膠帶,化學工業",台灣主要PVC膠帶供應商,
"49	",1325.TW,恆大,24.1,-1.23,437,3.37,21,8.53,0.13,-0.32,2,0,0,0,0,0,1,0,0,-0.41,-0.1,-18,-31,-27,0,0,0,0,0.14,上市塑膠,不織布,"不織布,工業紡織品",台灣最大的紡結不織布生產廠,
"50	",1326.TW,台化,54.9,1.29,17116,7.56,3177,586.12,25.74,0.21,14,34,41,0,1,0,0,0,0,0.58,-0.82,-15,15,11,0,4.6,4.6,0.44,0,上市塑膠,PTA,"二甲基甲醯胺(DMF),酚,化學工業,其他化工產品,芳香烴,SM,ABS,PS,PP,塑化原料,化學纖維,尼龍粒,尼龍加工絲,尼龍絲,化纖原料,PTA,粘膠",台灣最大的PTA廠,
"51	",1336.TW,台翰,14.95,-2.61,235,1.94,12,7.76,0.02,-0.19,4,0,0,0,1,0,0,0,0,0.02,0,4,0,-8,0,0,0,0.27,0,上櫃電子零組件,塑膠射出,"電子零件元件,塑膠射出",宣德轉投資之消費電子產品外殼製造商,
"52	",1337.TW,再生-KY,4.86,0.62,102,2.44,13,26.9,0.04,-0.43,6,0,0,0,0,0,0,0,0,-0.13,-0.11,8,-10,-18,0,0,0,0,0.13,上市塑膠,塑膠加工,"塑膠加工,塑化原料,塑化製品,EVA",大陸第一大EVA發泡材商,
"53	",1338.TW,廣華-KY,16.7,0.6,102,1.49,14,8.38,0.05,-0.42,3,0,0,1,1,0,0,0,0,0.05,-0.05,-7,6,-1,0,0,0,0.2,0,上市汽車,汽車內裝,汽車內裝,汽車OEM塑膠內飾件大廠，供應以大陸市場為主,
"54	",1339.TW,昭輝,43,-0.92,83,2.38,32,7.41,0.04,-0.2,10,0,0,0,0,0,0,0,0,0.09,-0.34,4,15,-13,0,0,0,0,0,上市汽車,汽車保險桿,"塑膠加工,塑化製品,汽車保險桿,汽機車零組件",台灣第二大汽車AM塑膠件製造商,
"55	",1340.TW,勝悅-KY,5.3,0.19,99,2.42,8,15.29,0.01,-0.36,9,0,0,0,0,0,0,0,0,0.04,-0.16,29,-71,-79,0,0,0,0,0.18,上市塑膠,鞋材,"地產,物業投資發展,旅宿／餐飲,飯店",專注旅館及第三方物流承租收入事業,
"56	",1341.TW,富林-KY,57,-0.87,4,0.52,30,5.29,0,1.62,9,9,100,0,1,0,0,0,0,-1.34,-0.07,-25,15,5,0,0,0,0.09,0.04,上市塑膠,塑膠皮布,"塑膠皮布,塑化製品",越南第一大PVC人造皮革生產商,
"57	",1342.TW,八貫,112.5,1.35,562,2.21,87,7.8,0.8,2.29,7,15,47,0,1,0,0,0,0,0.64,-2.91,-3,37,27,0,0.5,0.5,0.41,0,上市其他,塑膠皮布,"塑膠皮布,塑化製品",台灣機能性皮布料及薄膜製造商,
"58	",1402.TW,遠東新,29.05,1.93,26222,1.75,1526,535.29,7.06,0.64,6,11,55,0,1,0,0,0,0,0.38,-2.15,2,19,4,11.8,-7.5,4.3,0.26,0,上市紡織纖維,聚酯粒,"家居用品,寢具,化學纖維,聚酯絲,聚酯加工絲,聚酯棉,聚酯粒,化纖原料,PTA,成衣,成衣製造,成衣銷售/零售,織布業,棉紡業,紡紗,控股公司,資產股",全球前五大聚酯製造商，集團轉投資橫跨領域廣,
"59	",1409.TW,新纖,25.9,-0.77,25094,5.18,422,161.84,6.02,0.89,10,11,91,0,1,0,0,0,0,-1.72,2.96,7,35,9,0,-2.2,-2.2,0.92,0,上市紡織纖維,聚酯粒,"塑膠加工,塑化製品,化學纖維,聚酯絲,聚酯粒,資產股",新光集團旗下，台灣知名化纖廠,
"60	",1410.TW,南染,25.5,2.62,130,1.82,15,6.2,0.03,-0.3,8,0,0,0,0,0,0,0,0,0.03,0.11,-11,37,9,0,0,0,0,0.1,上市紡織纖維,物業投資發展,"IC封裝測試,地產,物業投資發展",轉型為不動產租賃業務,
"61	",1413.TW,宏洲,9.37,0.64,24,3.42,10,13.21,0,-0.25,7,0,0,0,0,0,1,0,0,0.01,-0.19,-20,-16,-19,0,0,0,0,0.09,上市紡織纖維,聚酯絲,"化學纖維,聚酯絲,聚酯粒",宜進入主，聚酯粒、聚酯絲與加工絲一貫廠,
"62	",1414.TW,東和,18.3,3.98,222,4.62,35,19.8,0.14,-0.04,6,0,0,0,1,0,0,0,0,0.09,0.35,-1,11,-7,0,0,0,0.3,0,上市紡織纖維,混紡紗,"混紡紗,紡紗,資產股,地產,物業投資發展",棉混紡紗大廠,
"63	",1416.TW,廣豐,10.75,-0.46,146,1.39,20,18.53,0.05,-0.05,9,0,0,0,0,0,0,0,0,-0.48,-0.06,21,61,35,0,0,0,0,0.07,上市其他,應用軟體,"資產股,軟體業,應用軟體",專注金融業應用系統開發,
"64	",1417.TW,嘉裕,8.45,1.2,127,1.9,16,18.99,0.02,-0.23,9,0,0,0,0,0,0,0,0,0.03,-0.13,-3,-10,17,0,0,0,0,0,上市紡織纖維,成衣銷售／零售,"成衣,成衣製造,成衣銷售/零售",裕隆集團旗下，台灣知名男性西服供應商,
"65	",1418.TW,東華,17.85,0.28,3,1.12,8,5.68,0,-1.55,3,0,0,0,0,0,0,0,0,0.01,0.12,90,206,-36,0,0,0,0,0.17,上市紡織纖維,亞克力棉,"化學纖維,亞克力棉",台灣老牌的亞克力棉製造商,
"66	",1419.TW,新紡,65,-0.76,243,3,197,30,0.12,-0.06,6,193,3,0,0,0,0,0,0,0.04,-0.15,-5,2,30,0,0,0,0,0,上市紡織纖維,織布業,"成衣,成衣銷售/零售,織布業,資產股,地產,物業投資發展",新光集團旗下，平織布生產商，士林三寶之一,
"67	",1423.TW,利華,36.5,-2.01,67,0.67,37,9.96,0.01,-0.38,7,0,0,0,0,0,0,0,0,0.49,-0.28,47,18,4,0,0,0,0,0.14,上市紡織纖維,毛紡,"毛紡,紡紗,資產股",台灣第一大的專業毛條生產商,
"68	",1432.TW,大魯閣,15.2,-0.33,261,2.88,14,10.8,0.1,-2.38,1,0,0,0,1,0,0,0,0,-0.03,-0.2,-1,-39,-40,0,0,0,0.13,0.06,上市運動休閒,大型遊樂場,"流通業,百貨業,休閒娛樂,大型遊樂場",經營型娛樂購物中心事業,
"69	",1434.TW,福懋,17,1.8,2276,3.16,281,168.47,0.54,0.08,8,47,17,0,1,0,0,0,0,0.1,-0.47,-3,6,-6,0,0.7,0.7,0.19,0,上市紡織纖維,尼龍製品,"加油站,其他公用事業,尼龍製品,尼龍塔夫塔布,工業紡織品",台塑集團旗下，台灣知名輪胎簾布製造商,
"70	",1435.TW,中福,24.9,9.93,139,0,32,13.98,0.02,-0.15,5,0,0,0,1,0,0,0,0,0,-0.37,0,0,0,0,0,0,0.77,0,上市其他,物業投資發展,"資產股,地產,物業投資發展",主要從事物業及廠房租賃，並多元發展各種事業,
"71	",1436.TW,華友聯,44.85,0.67,243,2.77,86,19.42,0.2,-1.15,4,0,0,1,0,0,0,0,0,-0.31,0.88,106,45,-48,0,-0.1,-0.1,0,0.1,上市建材營造,營建,"營建,地產",主打首購族及換屋族市場的建商,
"72	",1437.TW,勤益控,30.1,0,141,0.83,61,20.19,0.06,0.03,6,27,22,0,1,0,0,0,0,0.15,-0.39,8,-1,-9,0,0,0,0.08,0,上市其他,物業投資發展,"毛紡,紡紗,控股公司,資產股,地產,物業投資發展",投資控股公司，從事地產、紡織貿易及投資事業,
"73	",1438.TW,三地開發,22.9,0.44,112,5.23,25,11.12,0.05,-0.01,6,6,100,1,0,0,0,0,0,-0.03,-0.8,-91,0,161966,0,0,0,0,0,上市建材營造,營建,"營建,地產",開發以台南及高雄地區為主力的建商,
"74	",1439.TW,雋揚,24.4,1.88,103,2.47,22,9.2,0.01,-0.17,1,168,1,0,0,0,0,0,0,0.03,0.04,111,-38,-42,0,0,0,0,0.09,上市建材營造,營建,"資產股,營建,地產,物業投資發展",國揚集團旗下，著重開發危老及都更計畫,
"75	",1440.TW,南紡,13.25,1.92,1571,2.26,215,165.68,0.38,-0.18,7,0,0,0,0,0,0,0,0,-0.02,-0.2,9,-13,-18,0,0,0,0,0,上市紡織纖維,聚酯棉,"化學纖維,聚酯絲,聚酯棉,聚酯粒,化纖原料,棉紡業,紡紗,資產股",台灣最大的聚酯棉與紡紗廠，並經營夢時代購物中心,
"76	",1441.TW,大東,9.03,0,44,0.77,6,7.17,0,-0.57,3,0,0,0,0,0,0,0,0,0,-0.37,-29,-1,-18,0,0,0,0,0.1,上市紡織纖維,棉紡業,"織布業,棉紡業,紡紗,資產股",台灣主要棉紡生產企業,
"77	",1442.TW,名軒,26.85,-0.56,167,3.27,99,36.62,0.18,0.12,1,30,3,0,0,0,0,0,0,0.13,-0.43,168,-19,-70,0,-0.1,-0.1,0,0,上市建材營造,營建,"營建,地產",麗寶集團旗下成員,
"78	",1443.TW,立益物流,25.95,1.17,6,4.63,35,13.53,0.01,0.34,8,13,62,0,1,0,0,0,0,0.02,-0.15,-2,-2,-8,0,0,0,0.35,0,上市其他,倉儲服務,"流通業,貿易,倉儲服務,運輸事業,物流業",從事物流倉儲服務及經營房地產,
"79	",1444.TW,力麗,8.15,9.99,13366,7.79,74,99.56,0.4,-0.04,8,0,0,0,1,0,0,0,0,0.23,-0.48,72,81,24,0,0.1,0.1,0.37,0,上市紡織纖維,聚酯加工絲,"化學纖維,聚酯加工絲,聚酯粒",台灣聚酯加工絲龍頭廠,
"80	",1445.TW,大宇,11.8,9.26,597,2.34,14,13.07,0.01,-0.5,5,119,4,0,0,0,0,0,0,0.04,-0.23,132,-12,-24,0,0,0,0,0.15,上市紡織纖維,織布業,"化學纖維,聚酯加工絲,織布業",台灣專業的織布廠,
"81	",1446.TW,宏和,16.55,0.61,236,2.11,23,13.77,0.06,-0.33,9,15,60,0,1,0,0,0,0,-0.29,0.17,23,-2,-58,0,0,0,0.13,0,上市紡織纖維,織布業,"織布業,資產股,營建,地產",台灣知名的長短纖布廠,
"82	",1447.TW,力鵬,6.84,9.97,4882,4.75,57,91.01,0.15,-0.02,10,32,31,0,1,0,0,0,0,0.14,-0.51,-50,-46,4,0,0,0,0.48,0,上市紡織纖維,尼龍粒,"化學纖維,尼龍粒,織布業",力麗集團旗下，台灣知名尼龍粒大廠,
"83	",1449.TW,佳和,14.45,3.21,1496,4.75,18,12.71,0.18,-1.96,6,0,0,0,0,0,0,0,0,-0.69,0.8,-25,99,44,0,0,0,0,0,上市紡織纖維,織布業,"織布業,營建,地產",織布生產商，產品為先染及長纖織物,
"84	",1451.TW,年興,17,0.89,98,1.46,33,19.8,0.04,0.15,9,13,69,0,0,0,0,0,0,-0.03,-0.46,2,-19,1,0,0,0,0,0,上市紡織纖維,成衣製造,"成衣,成衣製造,織布業",全球最大的牛仔成衣廠,
"85	",1452.TW,宏益,10.95,1.39,53,1.83,14,13.26,0.02,-0.14,9,0,0,0,0,0,0,0,0,0.16,-0.16,-18,15,2,0,0,0,0,0,上市紡織纖維,聚酯加工絲,"化學纖維,聚酯加工絲",台灣專業的加工絲一貫廠,
"86	",1453.TW,大將,11.1,-1.33,110,3.04,13,11.32,0.02,-0.13,3,0,0,0,0,0,0,0,0,0,-0.39,-1,1,1,0,0,0,0,0,上市建材營造,營建,"營建,地產",主要經營營建開發及紡織買賣,
"87	",1454.TW,台富,12.75,0,27,0.78,17,12.98,0,-0.4,2,0,0,0,0,0,0,0,0,0,-0.09,2,8,-20,0,0,0,0,0.15,上市紡織纖維,織布業,"化學纖維,聚酯加工絲,織布業",台灣加工絲、織布一貫廠,
"88	",1455.TW,集盛,9.61,0.84,1303,2.3,51,53.17,0.11,-0.13,8,0,0,0,1,0,0,0,0,0.14,-0.53,-9,-5,-21,0,0.1,0.1,0.32,0,上市紡織纖維,尼龍粒,"化學纖維,尼龍粒,尼龍加工絲,尼龍絲",台灣前三大尼龍粒廠商及前四大聚酯加工絲廠,
"89	",1456.TW,怡華,14.25,-0.35,136,7.24,13,9.37,0.02,-0.16,5,6,83,0,1,0,0,0,0,0.14,-0.24,-55,-69,1,0,0,0,0.31,0,上市建材營造,營建,"營建,地產",元邦集團旗下，為綜合性紡織廠及營建商,
"90	",1457.TW,宜進,14.25,1.42,84,1.41,45,31.67,0.03,-0.13,9,16,56,0,0,0,0,0,0,0.05,-0.35,-16,-9,-16,0,0,0,0,0.16,上市紡織纖維,聚酯加工絲,"化學纖維,聚酯絲,聚酯加工絲,織布業,資產股",台灣前五大加工絲廠之一,
"91	",1459.TW,聯發,11.65,1.3,93,1.71,41,35.86,0.04,0.03,4,81,5,0,0,0,0,0,0,0.07,-0.39,-13,-3,-24,0,0,0,0,0.04,上市紡織纖維,聚酯加工絲,"化學纖維,聚酯加工絲",台灣十大聚酯加工絲廠之一,
