符合條件商品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料日期：2026年  6月 24日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
策略,"	.常用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20	",1229.TW,聯華,42.25,1.32,4276,2.18,749,179.6,1.58,-0.05,8,104,8,0,1,0,0,0,0,-0.05,-0.39,30,-9,-9,0,0.2,0.2,0.18,0.1,上市食品,麵粉,"大宗物資,麵粉,系統整合,軟體業",聯華神通集團之創始公司，是台灣麵粉品牌龍頭企業,
"21	",1231.TW,聯華食,88,0,347,1.38,263,29.85,0.31,0.48,7,25,28,0,0,0,0,0,0,0.08,0.06,-2,-3,4,0,0.2,0.2,0,0.03,上市食品,調理食品,"食品加工,穀類烘焙製品,調理食品,餅乾製品",台灣休閒食品大廠，並供應7-11鮮食產品,
"22	",1232.TW,大統益,142.5,0.35,148,0.7,227,16,0.23,2.24,10,15,67,0,0,0,0,0,0,-0.02,0.39,-3,10,8,0,-0.2,-0.2,0,0.03,上市食品,油脂,"食品加工,大宗物資,油脂,磨粉製品",台灣最大黃豆加工製造廠，是豆粉與油脂製造龍頭,
"23	",1233.TW,天仁,28.15,0.18,9,1.07,25,9.06,0.01,-0.06,14,22,64,0,0,0,0,0,0,0.08,-0.07,9,-4,2,0,0,0,0,0.04,上市食品,茶葉相關,"食品加工,茶葉相關,旅宿／餐飲,餐飲,連鎖飲料",台灣知名茶葉廠並轉投資喫茶趣,
"24	",1234.TW,黑松,35.15,0.57,298,0.57,140,40.19,0.05,-0.56,8,2728,0,0,1,0,0,0,0,-0.02,0.05,1,-23,-6,0,0,0,0.06,0.02,上市食品,非酒精飲料,"流通業,食品飲料相關通路,非酒精飲料,飲料相關,資產股",主要從事黑松品牌飲料製造及酒品代理,
"25	",1235.TW,興泰,37.7,0.53,39,2.86,71,18.86,0.01,-0.25,10,102674,0,0,0,0,0,0,0,0,-0.24,-46,-38,47,0,0,0,0,0.16,上市食品,飼料,"農林漁牧,飼料",生產畜產及水產類飼料之廠商,
"26	",1236.TW,宏亞,25.8,-0.19,20,0.58,22,8.67,0.01,-0.62,10,31,32,0,1,0,0,0,0,-0.02,-0.06,-12,-4,3,0,0,0,0.12,0.02,上市食品,可可製品,"食品加工,可可製品,餅乾製品",旗下七七巧克力與禮坊喜餅為知名品牌,
"27	",1240.TW,茂生農經,58.3,-0.17,10,0.17,26,4.42,0.01,0.3,6,26,23,0,0,0,0,0,0,0,0.4,3,3,3,0,0,0,0,0.02,上櫃農業科技業,飼料,"農林漁牧,家畜／家禽,飼料",家禽家畜飼料、大宗原料供應商,
"28	",1256.TW,鮮活果汁-KY,179.5,-0.28,53,3.59,64,3.58,0.24,2.32,13,17,76,1,0,0,0,0,0,0,0.11,4,24,47,0,-0.1,-0.1,0,0.27,上市食品,非酒精飲料,"非酒精飲料,飲料相關",大陸新茶飲上游原料供應商,
"29	",1259.TW,安心,57.6,-0.17,0,0,19,3.24,0,-0.25,10,54,19,0,0,0,0,0,0,0,-0.07,12,3,3,0,0,0,0,0.05,上櫃觀光餐旅,餐飲,"旅宿／餐飲,餐飲",東元旗下，以摩斯為速食餐飲連鎖品牌,
"30	",1264.TW,德麥,268,-0.56,41,0.18,100,3.71,0.05,4.77,11,11,100,0,0,0,0,0,0,0,0.01,-12,3,6,0,0,0,0,0.02,上櫃食品,食品飲料相關通路,"流通業,食品飲料相關通路,食品加工,穀類烘焙製品,磨粉製品",台灣最大烘焙原物料供應商,
"31	",1268.TW,漢來美食,171,0.88,99,0.88,72,4.22,0.06,1.41,14,7,200,0,1,0,0,0,0,-0.02,0,16,11,15,0,0,0,0.12,0.03,上櫃觀光餐旅,餐飲,"旅宿／餐飲,餐飲",台灣知名餐飲集團，經營多元品牌,
"32	",1301.TW,台塑,54.5,9.99,78231,7.54,3154,636.57,18.65,-0.3,11,0,0,0,0,0,0,0,0,0.27,-0.85,-18,1,-4,-53.2,75.9,22.7,0,0.24,上市塑膠,PVC,"合成樹脂,鹼業,化學工業,其他化工產品,PVC,PE,PP,塑化原料,EVA,AN,化纖原料",台灣最大塑化集團，亞洲最大PVC生產商,
"33	",1303.TW,南亞,156,0.97,71075,7.87,12253,793.08,352.39,0.36,7,131,5,0,1,1,0,0,0,0.88,-7.68,4,31,13,69.1,-26.8,42.3,1.14,0.77,上市塑膠,塑膠加工,"合成樹脂,丁二醇,化學工業,DOP,塑膠皮布,塑膠加工,PA,塑化原料,塑化製品,化學纖維,聚酯絲,聚酯棉,聚酯粒,化纖原料,EG,玻纖布,印刷電路板,銅箔基板,銅箔,印刷電路板相關",全球最大的塑膠加工廠、第四大EG廠,
"34	",1304.TW,台聚,13.6,6.25,7575,5.84,152,118.88,0.96,-0.48,9,0,0,0,0,0,0,0,0,0.11,-0.46,-16,-1,-5,0,0.1,0.1,0,0.17,上市塑膠,PE,"PE,ABS,PS,塑化原料,EVA",台灣EVA、PE知名廠商,
"35	",1305.TW,華夏,13.3,5.14,4003,6.72,74,58.11,0.47,-0.31,9,0,0,0,0,0,0,0,0,0.13,-0.24,-18,21,18,0,-0.1,-0.1,0,0.13,上市塑膠,PVC,"PVC,塑膠皮布,塑膠加工,塑化原料,塑化製品",台灣第二大PVC廠，轉投資台氯,
"36	",1307.TW,三芳,35.85,2.28,896,3.98,139,39.78,0.62,0.65,9,12,75,0,1,0,0,0,0,0.1,-1.28,-11,9,4,0,0.1,0.1,0.25,0.1,上市塑膠,塑膠皮布,"塑膠皮布,塑化製品,傳產其他,鞋材",全球最大的合成皮生產商,
"37	",1308.TW,亞聚,14.25,4.78,2736,4.95,81,59.37,0.4,0.03,6,225,3,0,0,0,0,0,0,0.03,-0.28,2,10,-5,0,-0.1,-0.1,0,0.12,上市塑膠,EVA,"PE,塑化原料,EVA",台聚轉投資之EVA及LDPE知名廠商,
"38	",1309.TW,台達化,15,4.17,3567,6.31,57,39.76,0.49,-0.79,7,0,0,0,0,0,1,0,0,0.21,-0.16,-23,-21,-18,0,0,0,0,0.27,上市塑膠,PS,"ABS,PS,塑化原料",台灣第三大PS廠,
"39	",1310.TW,台苯,9.93,2.06,8418,6.7,51,52.79,1.66,-0.12,8,10,80,0,1,0,0,0,0,-0.26,-0.11,-42,-39,-10,0,0.3,0.3,0.34,0.22,上市塑膠,SM,"SM,塑化原料",台灣第三大SM廠,
"40	",1312.TW,國喬,14,1.45,10431,3.21,208,150.66,1.91,-0.66,9,0,0,0,1,0,0,0,0,-0.03,-0.38,-36,6,18,0,0.3,0.3,0.58,0.25,上市塑膠,SM,"SM,ABS,塑化原料",台灣第二大SM及ABS廠,
"41	",1313.TW,聯成,11.8,3.06,4270,7.05,152,133.08,0.71,-0.24,8,29,28,0,0,0,0,0,0,0.08,-0.44,-9,5,4,0,0.4,0.4,0,0.13,上市塑膠,DOP,"PVC,DOP,PA,塑化原料",全球最大可塑劑及苯酐供應商,
"42	",1314.TW,中石化,7.99,1.78,16088,4.1,297,378.49,2.12,-0.34,5,0,0,0,1,0,0,0,0,-0.04,-0.31,-17,-24,-30,0,1.4,1.4,0.26,0.11,上市塑膠,CPL,"AN,化學纖維,尼龍粒,化纖原料,CPL,資產股",台灣第一大CPL廠,
"43	",1315.TW,達新,62.3,-0.16,7,2.09,62,9.91,0.03,-0.74,4,0,0,0,0,0,0,0,0,0,-0.15,78,3,-17,0,0,0,0,0.06,上市塑膠,塑膠加工,"塑膠加工,塑化製品,建材,複合板,成衣,成衣製造,資產股",台灣知名雨衣及成衣製造商,
"44	",1316.TW,上曜,10.35,0.49,1189,2.86,38,40.16,0.23,-0.42,6,50,12,1,0,0,0,0,0,-0.07,-0.19,5,153,139,0,-0.1,-0.1,0,0.13,上市建材營造,營建,"PU樹脂,化學工業,食品加工,保健食品,營建,地產",上曜集團旗下豪宅品牌,
