符合條件商品
資料日期：2026年  6月 25日
策略,	.常用
"序號","代碼","商品","成交","漲幅%","總量","振幅","市值(億)","股本(億)","成交值(億)","推估獲利","蘭質","LPE","蘭值","有CB","W55","55高","55低","集保","評比值","大戶增比","人數降比","月增","年增","累增","投三","外三","TOTAL","55漲%","21跌%","產業","細產業","所有細產業",產業地位
1	,"1101.TW","台泥","24.6","1.65","37491","1.45","1821","752.32","6.33","-0.09","6","23","26","1","0","0","0","0","0","0.13","-0.36","3","-0","-4","-0","-8.8","-8.8","0","0.06","上市水泥","水泥","水泥,水泥製品,預拌混凝土,電力,汽電共生",台灣最大水泥廠
2	,"1102.TW","亞泥","36.1","0.28","19356","1.68","1277","354.66","4.28","0.18","5","36","14","1","1","0","0","0","0","0.31","-0.99","11","-1","-8","-5.5","-0.5","-6","0.13","0","上市水泥","水泥","水泥,預拌混凝土,高爐水泥,電力,汽電共生",台灣前二大水泥廠
3	,"1103.TW","嘉泥","13.6","0","361","1.1","107","83.29","0.04","-0.09","4","0","0","0","1","0","0","0","0","0.07","-0.11","11","-8","-12","0","0","0","0.08","0","上市水泥","水泥","水泥,貨櫃場服務,運輸事業,地產,物業投資發展,旅宿／餐飲,飯店",主要從事水泥通路貿易
4	,"1104.TW","環泥","26.7","-0.56","1163","2.58","184","68.67","0.79","0.33","4","20","20","0","1","0","0","0","0","0.04","-0.1","3","2","-7","0","-0.8","-0.8","0.1","0","上市水泥","預拌混凝土","水泥,水泥製品,預拌混凝土",台灣最大石膏板供應商
5	,"1108.TW","幸福","13.8","0","240","1.09","56","40.47","0.05","-0.28","5","20","25","0","0","0","0","0","0","-0.04","0.06","4","-14","-19","0","0","0","0","0.04","上市水泥","水泥","水泥,預拌混凝土,高爐水泥",台灣第三大水泥廠
6	,"1109.TW","信大","14.6","0.69","112","1.39","49","34.12","0.02","-0.24","6","0","0","0","0","0","0","0","0","0.01","0.03","2","-15","-16","0","-0","0","0","0.04","上市水泥","水泥","水泥,預拌混凝土,高爐水泥",銷售市場以台北、宜蘭、基隆、桃園等為主
7	,"1110.TW","東泥","15.3","-1.29","237","1.61","89","57.2","0.01","0.05","6","56","11","0","0","0","0","0","0","-0.06","-0.36","-2","-11","-17","0","0","0","0","0","上市水泥","水泥","水泥,高爐水泥",台灣中南部市場水泥供應商
8	,"1201.TW","味全","12.45","0.4","462","1.21","63","50.61","0.07","-0.22","6","61","10","0","0","0","0","0","0","-0.16","-0.08","2","-5","-4","0","0","0","0","0","上市食品","乳製品","非酒精飲料,乳製品,食品加工,飲料相關",老牌綜合食品大廠
9	,"1203.TW","味王","42.85","-1.38","13","0","104","24","0","0.46","8","18","44","0","1","0","0","0","0","0","-0.09","-1","-10","-13","0","0","0","0.11","0","上市食品","調味品","速食麵,調味品,食品加工,罐頭業,調理食品,資產股",老牌食品廠
