符合條件商品
資料日期：2026年  6月 15日
策略,	.常用
"序號","代碼","商品","成交","漲幅%","總量","收盤價(06/15)","區間漲幅%","振幅","市值(億)","股本(億)","成交值(億)","推估獲利","蘭質","LPE","蘭值","有CB","W55","55高","55低","集保","評比值","大戶增比","人數降比","月增","年增","累增","投三","外三","TOTAL","55漲%","21跌%","產業","細產業","所有細產業",產業地位
10	,"1210.TW","大成","55.6","-0.36","3596","55.8","-0.36","2.35","499","89.48","2.7","0.83","8","12","67","0","1","0","0","0","0","0.99","-1.6","-0","10","5","4.7","-3.9","0.8","0.09","0","上市食品","飼料","農林漁牧,飼料,食品加工,大宗物資,肉品加工",白肉雞電宰加工廠及飼料大廠
11	,"1213.TW","大飲","8.5","-1.16","8","8.6","-1.16","0","5","5.66","0","-0.32","5","0","0","0","0","0","0","0","0","0","-0.17","-10","14","13","0","0","0","0","0.09","上市食品","非酒精飲料","非酒精飲料,飲料相關",產品以蘋果西打為主
12	,"1215.TW","卜蜂","115.5","0","1870","115.5","0","2.97","340","29.48","3.19","1.43","4","20","20","0","0","0","0","0","0","-0.89","1.25","7","2","4","-1.7","-0.7","-2.4","0","0.23","上市食品","肉品加工","農林漁牧,飼料,食品加工,肉品加工",台灣白肉雞供應商及飼料大廠
13	,"1216.TW","統一","75.6","-0.92","8209","76.3","-0.92","2.75","4335","568.2","11.8","0.81","13","16","81","0","1","1","0","0","0","0.24","-1.59","3","3","3","0.6","9","9.6","0.13","0","上市食品","乳製品","速食麵,非酒精飲料,乳製品,食品加工,穀類烘焙製品,飲料相關",台灣食品業龍頭廠之一
14	,"1217.TW","愛之味","9.84","0","413","9.84","0","1.42","49","49.45","0.06","-0.2","8","82","10","0","1","0","0","0","0","0.12","-0.09","-5","-15","-3","0","0","0","0.08","0","上市食品","非酒精飲料","非酒精飲料,乳製品,食品加工,罐頭業,飲料相關",以飲料、傳統類罐頭為主的食品商
15	,"1218.TW","泰山","17.9","-0.28","1066","17.95","-0.28","0.83","90","50","0.32","-0.06","9","17","53","0","1","0","0","0","0","-0.47","0.25","-3","-1","5","0","-0.5","-0.5","0.07","0.04","上市食品","油脂","非酒精飲料,大宗物資,油脂,飲料相關",台灣油脂、飲料大廠
16	,"1219.TW","福壽","12.55","0.4","329","12.5","0.4","1.2","43","34.12","0.04","-0.18","7","0","0","0","0","0","0","0","0","-0.06","-0","-9","-7","-1","0","0","0","0","0.04","上市食品","飼料","農林漁牧,飼料,食品加工,大宗物資,油脂,寵物食品",台灣知名農糧油脂、寵物飼料大廠
17	,"1220.TW","台榮","11.7","0","75","11.7","0","0.43","21","17.71","0.01","-0.2","2","0","0","0","0","0","0","0","0","0.02","0.07","-20","-13","-5","0","0","0","0","0.05","上市食品","飼料","流通業,食品飲料相關通路,農林漁牧,飼料,製糖,食品加工,大宗物資,磨粉製品",台灣知名果糖大廠，並生產飼料及水產品
18	,"1225.TW","福懋油","32","5.26","433","30.4","5.26","4.33","74","24.23","0.14","0.4","12","16","75","0","0","0","0","0","0","-0.31","0.14","-7","2","3","0","-0.1","-0.1","0","0","上市食品","油脂","農林漁牧,飼料,大宗物資,麵粉,油脂",台灣油脂、飼料大廠
19	,"1227.TW","佳格","28.85","-0.35","926","28.95","-0.35","1.72","265","91.51","0.46","-0.13","13","17","76","0","0","0","0","0","0","-0.13","0.18","18","5","8","-0","0.2","0.2","0","0","上市食品","油脂","乳製品,食品加工,大宗物資,油脂,保健食品,穀類烘焙製品",台灣最大穀物營養品與油品供應商
20	,"1229.TW","聯華","41.9","0.36","1848","41.75","0.36","1.68","750","179.6","0.93","-0.05","8","104","8","0","0","0","0","0","0","0.08","-0.42","30","-9","-9","-0","0.5","0.5","0","0","上市食品","麵粉","大宗物資,麵粉,系統整合,軟體業",聯華神通集團之創始公司，是台灣麵粉品牌龍頭企業
21	,"1231.TW","聯華食","87.4","-0.23","236","87.6","-0.23","2.36","261","29.85","0.5","0.48","7","25","28","0","0","0","0","0","0","0.05","-0.03","-2","-3","4","-0","-0.1","-0.1","0","0","上市食品","調理食品","食品加工,穀類烘焙製品,調理食品,餅乾製品",台灣休閒食品大廠，並供應7-11鮮食產品
